date,region,carrier,shipments_processed,delay_hours_avg,fuel_price_usd_per_barrel,warehouse_utilization_percent,damage_claims_count,high_utilization,high_utilization_flag
2024-06-09,europe,globalconnect,1320,1.6,81.8,73,1,False,0
2024-06-09,asia-pacific,oceanexpress,2350,4.9,83.5,94,19,True,1
2024-06-09,north america,reliablelogistics,960,0.9,80.4,62,0,False,0
2024-06-10,north america,fastship,1420,3.1,80.7,87,7,True,1
2024-06-10,europe,globalconnect,1170,2.1,82.1,77,4,False,0
2024-06-10,asia-pacific,oceanexpress,2020,3.9,83.8,90,11,True,1
2024-06-10,north america,reliablelogistics,870,1.5,80.7,58,3,False,0
2024-06-11,north america,fastship,1540,2.6,81.0,85,5,False,0
2024-06-11,europe,globalconnect,1240,1.5,82.4,75,2,False,0
2024-06-11,asia-pacific,oceanexpress,2180,4.4,84.1,92,15,True,1
2024-06-11,north america,reliablelogistics,920,1.1,81.0,60,1,False,0
2024-06-12,north america,fastship,1490,2.9,81.3,86,6,True,1
2024-06-12,europe,globalconnect,1290,1.4,82.7,74,3,False,0
2024-06-12,asia-pacific,oceanexpress,2280,4.7,84.4,93,17,True,1
2024-06-12,north america,reliablelogistics,940,1.0,81.3,61,0,False,0
2024-06-13,north america,fastship,1590,2.2,81.6,84,4,False,0
2024-06-13,europe,globalconnect,1200,1.7,83.0,76,2,False,0
2024-06-13,asia-pacific,oceanexpress,2100,4.1,84.7,91,12,True,1
2024-06-13,north america,reliablelogistics,900,1.3,81.6,59,2,False,0
2024-06-14,north america,fastship,1610,2.0,81.9,83,3,False,0
2024-06-14,europe,globalconnect,1330,1.6,83.3,73,1,False,0
2024-06-14,asia-pacific,oceanexpress,2370,5.0,85.0,94,20,True,1
2024-06-14,north america,reliablelogistics,970,0.9,81.9,62,0,False,0
2024-06-15,north america,fastship,1430,3.1,82.2,87,7,True,1
2024-06-15,europe,globalconnect,1180,2.1,83.6,77,4,False,0
2024-06-15,asia-pacific,oceanexpress,2040,3.9,85.3,90,11,True,1
2024-06-15,north america,reliablelogistics,880,1.5,82.2,58,3,False,0
2024-06-16,north america,fastship,1530,2.6,82.5,85,5,False,0
2024-06-16,europe,globalconnect,1230,1.5,83.9,75,2,False,0
2024-06-16,asia-pacific,oceanexpress,2170,4.4,85.6,92,14,True,1
2024-06-16,north america,reliablelogistics,910,1.1,82.5,60,1,False,0
2024-06-17,north america,fastship,1470,2.9,82.8,86,6,True,1
2024-06-17,europe,globalconnect,1270,1.4,84.2,74,3,False,0
2024-06-17,asia-pacific,oceanexpress,2270,4.7,85.9,93,16,True,1
2024-06-17,north america,reliablelogistics,930,1.0,82.8,61,0,False,0
2024-06-18,north america,fastship,1570,2.2,83.1,84,4,False,0
2024-06-18,europe,globalconnect,1190,1.8,84.5,76,2,False,0
2024-06-18,asia-pacific,oceanexpress,2090,4.2,86.2,91,13,True,1
2024-06-18,north america,reliablelogistics,890,1.3,83.1,59,2,False,0
2024-06-19,north america,fastship,1610,2.0,83.4,83,3,False,0
2024-06-19,europe,globalconnect,1310,1.6,84.8,73,1,False,0
2024-06-19,asia-pacific,oceanexpress,2340,4.9,86.5,94,18,True,1
2024-06-19,north america,reliablelogistics,960,0.9,83.4,62,0,False,0
2024-06-20,north america,fastship,1420,3.1,83.7,87,7,True,1
2024-06-20,europe,globalconnect,1160,2.1,85.1,77,4,False,0
2024-06-20,asia-pacific,oceanexpress,2030,3.9,86.8,90,10,True,1
2024-06-20,north america,reliablelogistics,870,1.5,83.7,58,3,False,0
2024-06-21,north america,fastship,1540,2.6,84.0,85,5,False,0
2024-06-21,europe,globalconnect,1240,1.5,85.4,75,2,False,0
2024-06-21,asia-pacific,oceanexpress,2180,4.4,87.1,92,14,True,1
2024-06-21,north america,reliablelogistics,920,1.1,84.0,60,1,False,0
2024-06-22,north america,fastship,1490,2.9,84.3,86,6,True,1
2024-06-22,europe,globalconnect,1290,1.4,85.7,74,3,False,0
2024-06-22,asia-pacific,oceanexpress,2280,4.7,87.4,93,17,True,1
2024-06-22,north america,reliablelogistics,940,1.0,84.3,61,0,False,0
2024-06-23,north america,fastship,1590,2.2,84.6,84,4,False,0
2024-06-23,europe,globalconnect,1200,1.7,86.0,76,2,False,0
2024-06-23,asia-pacific,oceanexpress,2100,4.1,87.7,91,12,True,1
2024-06-23,north america,reliablelogistics,900,1.3,84.6,59,2,False,0
2024-06-24,north america,fastship,1610,2.0,84.9,83,3,False,0
2024-06-24,europe,globalconnect,1330,1.6,86.3,73,1,False,0
2024-06-24,asia-pacific,oceanexpress,2370,5.0,88.0,94,19,True,1
2024-06-24,north america,reliablelogistics,970,0.9,84.9,62,0,False,0
2024-06-25,north america,fastship,1430,3.1,85.2,87,7,True,1
2024-06-25,europe,globalconnect,1180,2.1,86.6,77,4,False,0
2024-06-25,asia-pacific,oceanexpress,2040,3.9,88.3,90,10,True,1
2024-06-25,north america,reliablelogistics,880,1.5,85.2,58,3,False,0
